GameDay,GameID,TeamID,Team,OpponentID,Opponent,Location,Division,Conference,Playoffs,WinOrLoss,PlayerType,MIN,PTS,FGM,FGA,3FM,3FA,FTM,FTA,REB,AST,STL,BLK,OREB,TO,PF
11/4/2024,1262422,455,Central Michigan,443,South Alabama,V,,,,W,,195,74,26,52,9,31,13,17,0,17,11,1,9,12,0
11/4/2024,1262436,437,Missouri,463,Memphis,V,,,,L,,195,75,26,57,7,24,16,25,0,16,11,2,8,14,0
11/4/2024,1262436,463,Memphis,437,Missouri,H,,,,W,,195,83,26,58,8,20,23,29,0,16,8,3,11,16,0
11/4/2024,1262439,432,Long Island,465,Mississippi,V,,,,L,,195,60,20,58,5,15,15,24,0,6,9,5,8,15,0
11/4/2024,1262439,465,Mississippi,432,Long Island,H,,,,W,,195,90,28,57,9,22,25,32,0,12,10,13,9,14,0
11/4/2024,1262508,568,South Dakota,518,Southern,H,,,,W,,194,93,32,62,10,24,19,32,0,17,10,6,9,11,0
11/4/2024,1262508,518,Southern,568,South Dakota,V,,,,L,,195,79,28,64,5,20,18,24,0,9,5,5,14,17,0
11/4/2024,1262524,582,Incarnate Word,5049,California Baptist,V,,,,L,,195,78,31,61,11,23,5,9,0,6,2,4,11,11,0
11/4/2024,1262524,5049,California Baptist,582,Incarnate Word,H,,,,W,,196,83,31,65,5,17,16,23,0,15,6,1,12,5,0
11/4/2024,1262627,301,Santa Clara,295,Saint Louis,N,,,,W,,195,85,28,66,12,35,17,20,0,11,8,3,13,12,0
11/4/2024,1262627,295,Saint Louis,301,Santa Clara,N,,,,L,,196,78,29,61,12,34,8,10,0,13,4,3,8,17,0
11/4/2024,1262640,2028841,Le Moyne,310,Syracuse,V,,,,L,,196,82,28,57,9,25,17,23,0,12,6,1,5,16,0
11/4/2024,1262640,310,Syracuse,2028841,Le Moyne,H,,,,W,,197,86,31,72,4,22,20,31,0,15,7,2,18,11,0
11/4/2024,1262683,571,Cal State Bakersfield,340,California,V,,,,L,,194,73,27,62,9,16,10,18,37,6,5,3,14,17,0
11/4/2024,1262683,340,California,571,Cal State Bakersfield,H,,,,W,,195,86,24,57,7,23,31,40,0,12,7,3,15,11,0
11/4/2024,1262694,11203,Southern Indiana,363,DePaul,V,,,,L,,220,78,31,62,6,14,10,12,0,9,4,3,7,14,0
11/4/2024,1262694,363,DePaul,11203,Southern Indiana,H,,,,W,,220,80,29,64,14,37,8,22,0,11,6,4,9,10,0
11/4/2024,1262721,451,Vanderbilt,383,Maryland-Eastern Shore,H,,,,W,,192,102,36,72,8,34,22,33,0,18,11,4,14,1,0
11/4/2024,1262721,383,Maryland-Eastern Shore,451,Vanderbilt,V,,,,L,,196,63,23,52,7,21,10,19,0,7,1,0,4,15,0
11/4/2024,1262755,429,San Jose State,353,Western Illinois,H,,,,L,,196,55,16,46,3,16,20,29,0,6,5,0,4,5,0
11/4/2024,1262755,353,Western Illinois,429,San Jose State,V,,,,W,,197,59,22,51,7,24,8,10,0,10,3,2,6,12,0
11/4/2024,1262787,5050,North Alabama,440,Air Force,V,,,,W,,193,73,27,58,15,29,4,9,0,13,6,3,5,5,0
11/4/2024,1262787,440,Air Force,5050,North Alabama,H,,,,L,,194,57,18,46,9,26,12,17,0,13,2,4,5,13,0
11/4/2024,1262820,516,American,500,La Salle,V,,,,L,,195,52,20,55,9,31,3,8,0,13,3,3,8,9,0
11/4/2024,1262820,500,La Salle,516,American,H,,,,W,,197,65,23,55,5,16,14,18,0,7,5,3,9,5,0
11/4/2024,1262834,11200,Utah Tech,504,Oregon State,V,,,,L,,194,57,19,57,5,25,14,23,0,10,4,0,8,12,0
11/4/2024,1262834,504,Oregon State,11200,Utah Tech,H,,,,W,,196,80,32,64,6,24,10,16,0,16,8,5,9,9,0
11/4/2024,1262975,349,Green Bay,392,Oklahoma State,V,,,,L,,193,76,25,51,14,31,12,16,0,14,8,2,2,19,0
11/4/2024,1262975,392,Oklahoma State,349,Green Bay,H,,,,W,,195,89,29,69,10,22,21,24,0,13,11,4,16,13,0
11/4/2024,1263010,531,Jacksonville State,4000,ND1,H,,,,W,,196,112,43,73,9,26,17,18,0,20,6,2,11,7,0
11/4/2024,1263213,16670,Saint Thomas (Minn.),4000,ND1,H,,,,W,,192,96,32,71,10,26,22,27,0,20,5,4,16,10,0
11/4/2024,1263329,393,Drexel,4000,ND1,H,,,,W,,194,95,31,61,15,24,18,25,0,24,5,5,14,13,0
11/4/2024,1263340,433,Eastern Michigan,405,Texas State,V,,,,L,,194,44,17,58,5,24,5,15,0,7,7,0,10,13,0
11/4/2024,1263340,405,Texas State,433,Eastern Michigan,H,,,,W,,194,64,20,48,7,15,17,21,0,13,8,4,8,12,0
11/4/2024,1263497,355,Campbell,4000,ND1,H,,,,W,,193,96,32,58,3,17,29,36,0,16,12,7,9,11,0
11/4/2024,1263541,402,Southern Utah,4000,ND1,H,,,,W,,193,96,35,72,10,26,16,20,0,18,7,6,13,10,0
11/4/2024,1263615,508,Columbia,379,Loyola Maryland,V,,,,W,,193,81,25,56,7,23,24,30,0,15,8,1,8,12,0
11/4/2024,1263615,379,Loyola Maryland,508,Columbia,H,,,,L,,196,78,29,63,7,25,13,18,0,11,8,1,9,15,0
11/4/2024,1263645,524,UNC Greensboro,566,Florida Gulf Coast,H,,,,W,,194,73,22,61,12,31,17,20,0,10,6,1,11,5,0
11/4/2024,1263645,566,Florida Gulf Coast,524,UNC Greensboro,V,,,,L,,196,64,23,58,9,30,9,11,0,11,1,0,7,7,0
11/4/2024,1263809,411,Virginia Military Institute,4000,ND1,H,,,,W,,195,103,37,75,10,31,19,25,0,28,13,4,18,9,0
11/4/2024,1263875,509,North Carolina A&T,4000,ND1,H,,,,W,,195,107,38,75,14,38,17,25,0,24,9,0,15,10,0
11/4/2024,1263883,258,Illinois State,525,Tennessee-Martin,H,,,,L,,194,65,18,62,8,41,21,28,0,13,6,2,8,9,0
11/4/2024,1263883,525,Tennessee-Martin,258,Illinois State,V,,,,W,,195,67,26,66,7,25,8,18,0,14,6,3,10,14,0
11/4/2024,1264078,0,ND1,572,SIU Edwardsville,V,,,,L,,190,42,15,50,9,19,3,4,29,13,4,1,3,32,0
11/4/2024,1264078,572,SIU Edwardsville,4000,ND1,H,,,,W,,194,95,39,82,6,22,11,18,0,22,18,2,17,10,0
11/4/2024,1264330,233,Texas A&M,250,UCF,V,,,,L,,195,61,23,63,7,23,8,14,0,13,4,3,16,12,0
11/4/2024,1264330,250,UCF,233,Texas A&M,H,,,,W,,196,64,17,50,8,26,22,31,0,13,9,10,8,11,0
11/4/2024,1264354,316,Howard,224,Kansas,V,,,,L,,195,57,22,58,8,22,5,12,0,12,9,1,8,15,0
11/4/2024,1264354,224,Kansas,316,Howard,H,,,,W,,195,87,32,53,11,22,12,16,0,20,11,7,5,14,0
11/4/2024,1264513,406,Texas-San Antonio,4000,ND1,H,,,,W,,195,103,36,76,11,33,20,22,0,16,21,6,16,13,0
11/4/2024,1264518,430,UC Santa Barbara,4000,ND1,H,,,,W,,192,96,34,63,14,35,14,21,0,17,6,7,11,14,0
11/4/2024,1264518,0,ND1,430,UC Santa Barbara,V,,,,L,,193,47,18,68,7,27,4,5,25,11,6,0,5,12,0
11/4/2024,1264524,567,Bryant,4000,ND1,H,,,,W,,192,105,40,72,7,23,18,23,0,26,9,7,15,13,0
11/4/2024,1264524,0,ND1,567,Bryant,V,,,,L,,193,63,24,70,7,16,8,9,18,7,9,1,4,14,0
11/4/2024,1264536,469,UNC Wilmington,4000,ND1,H,,,,W,,193,143,53,77,15,28,22,31,0,32,8,5,14,15,0
11/4/2024,1264540,285,Northern Iowa,4000,ND1,H,,,,W,,193,96,35,67,5,17,21,24,0,16,10,5,17,13,0
11/4/2024,1264541,329,Mount Saint Mary`s,4000,ND1,H,,,,W,,193,98,33,60,8,24,24,30,0,21,12,7,13,24,0
11/4/2024,1264548,452,Winthrop,4000,ND1,H,,,,W,,193,125,46,88,13,40,20,28,0,20,10,6,25,9,0
11/4/2024,1264637,350,Austin Peay,4000,ND1,H,,,,W,,192,95,30,62,11,23,24,26,0,14,10,0,9,9,0
11/4/2024,1264637,0,ND1,350,Austin Peay,V,,,,L,,194,75,25,54,11,27,14,25,29,17,4,4,8,16,0
11/4/2024,1264659,580,Massachusetts-Lowell,4000,ND1,H,,,,W,,195,115,40,67,10,19,25,31,0,23,5,7,15,13,0
11/4/2024,1264673,408,Tulsa,4000,ND1,H,,,,W,,194,82,28,63,11,29,15,26,0,13,11,4,9,9,0
11/4/2024,1264772,491,South Carolina State,4000,ND1,H,,,,W,,193,137,45,68,22,34,25,30,0,25,15,3,13,16,0
11/4/2024,1264773,515,Western Carolina,4000,ND1,H,,,,W,,195,100,37,62,13,34,13,18,0,26,8,3,11,19,0
11/4/2024,1264774,499,Eastern Kentucky,4000,ND1,H,,,,W,,192,98,35,80,9,41,19,32,0,19,17,1,25,18,0
11/4/2024,1264775,530,Hampton,4000,ND1,H,,,,W,,193,110,38,78,13,33,21,26,0,25,18,1,20,5,0
11/4/2024,1264776,278,Louisiana-Monroe,4000,ND1,H,,,,W,,193,111,41,76,10,26,19,26,0,21,11,2,17,13,0
11/4/2024,1264778,417,Weber State,4000,ND1,H,,,,W,,195,118,46,78,19,36,7,12,0,28,9,7,11,7,0
11/4/2024,1264779,241,Idaho,4000,ND1,H,,,,W,,192,94,35,69,7,25,17,23,0,12,14,5,10,8,0
11/4/2024,1264780,537,IUPUI,4000,ND1,H,,,,W,,195,100,37,81,12,31,14,23,0,20,7,0,22,5,0
11/4/2024,1264782,416,Prairie View,4000,ND1,H,,,,W,,196,111,41,66,9,22,20,29,0,20,10,1,10,10,0
11/4/2024,1264783,226,Furman,4000,ND1,H,,,,W,,195,104,40,63,13,21,11,18,0,18,11,3,8,10,0
